a	阿
a di đà phật	阿彌陀佛
a phiến	阿片
adiđàphật	阿彌陀佛
ai	埃
ai ai	埃ヌ
aiai	埃ヌ
an	安
anh	英	偀
anh chị	偀姉
anh chị em	偀姉㛪
anh em	偀㛪
anh họ	偀户	偀戶
anh quốc	英國
anhchị	偀姉
anhchịem	偀姉㛪
anhem	偀㛪
anhhọ	偀户	偀戶
anhquốc	英國
aphiến	阿片
ba	𠀧	爸
ba má	爸媽
bamá	爸媽
ban	班
ban ngày	班𣈜
ban sáng	班𤎜
ban tối	班最
ban đầu	班頭
bang	邦
banngày	班𣈜
bansáng	班𤎜
bantối	班最
banđầu	班頭
bao	包
bao giấy	包紙
bao giờ	包𣇞
bao nhiêu	包饒
bao tay	包𢬣
baogiấy	包紙
baogiờ	包𣇞
baonhiêu	包饒
baotay	包𢬣
bay	𠖤
biết	别
biết bao	别包
biết mặt	别𩈘
biết điều	别条	别條
biết đâu	别兜
biếtbao	别包
biếtmặt	别𩈘
biếtđiều	别条	别條
biếtđâu	别兜
biển	𣷷
biển nhật bản	𣷷日本
biển đông	𣷷東
biểnnhậtbản	𣷷日本
biểnđông	𣷷東
buổi	𣇜
buổi sáng	𣇜𤎜
buổi tối	𣇜最
buổisáng	𣇜𤎜
buổitối	𣇜最
bà	妑	婆
bà con	妑𡥵	婆𡥵
bà ngoại	妑外	婆外
bà nội	妑内	婆内
bàcon	妑𡥵	婆𡥵
bàn	盘	盤	搬
bàn chân	盘蹎	盤蹎
bàn cờ	盘碁	盤碁
bàn giao	搬交
bàn giấy	盘紙	盤紙
bàn luận	盘論	盤論
bàn ra	盘𦋦	盤𦋦
bàn tay	盘𢬣	盤𢬣
bàn ăn	盘咹	盤𩛖
bànchân	盘蹎	盤蹎
bàncờ	盘碁	盤碁
bàngiao	搬交
bàngiấy	盘紙	盤紙
bàngoại	妑外	婆外
bànluận	盘論	盤論
bànra	盘𦋦	盤𦋦
bàntay	盘𢬣	盤𢬣
bànăn	盘咹	盤𩛖
bànội	妑内	婆内
bác	伯
bác sĩ	伯士
bácsĩ	伯士
bán	𧸝	半
bán âm	半音
bán đảo	半島
bánâm	半音
bánđảo	半島
báo	報
bây	悲	𣊾
bây giờ	悲𣇞	𣊾𣇞
bây nhiêu	悲饒	𣊾饒
bâygiờ	悲𣇞	𣊾𣇞
bâynhiêu	悲饒	𣊾饒
bé	𡮣
bé con	𡮣𡥵
bécon	𡮣𡥵
bên	边
bên ngoài	边外
bên phải	边沛
bên trái	边賴
bênngoài	边外
bênphải	边沛
bêntrái	边賴
bình	評	平	瓶
bình an	平安
bình luận	評論
bình thuỷ	瓶水
bình thường	平常
bìnhan	平安
bìnhluận	評論
bìnhthuỷ	瓶水
bìnhthường	平常
bò	𤙭
bóng	䏾
bóng gió	䏾𩙌	䏾𩙋
bóng trăng	䏾𦝄
bóng đèn	䏾畑
bónggió	䏾𩙌	䏾𩙋
bóngtrăng	䏾𦝄
bóngđèn	䏾畑
bông	葻
bông hoa	葻花
bông lan	葻蘭
bông sen	葻蓮
bônghoa	葻花
bônglan	葻蘭
bôngsen	葻蓮
bạc	鉑
bạn	伴
bạn cũ	伴𫇰
bạn vàng	伴鐄
bạncũ	伴𫇰
bạnvàng	伴鐄
bản	本	版
bản doanh	本营	本營
bản đồ	版圖
bảndoanh	本营	本營
bảnđồ	版圖
bảo	保	𠸒
bảo hiểm	保險
bảo lãnh	保領
bảo toàn	保全
bảo trợ	保助
bảo vệ	保衛
bảohiểm	保險
bảolãnh	保領
bảotoàn	保全
bảotrợ	保助
bảovệ	保衛
bảy	𦉱
bất	不
bất hạnh	不幸
bất nhân	不仁
bất thường	不常
bấthạnh	不幸
bấtnhân	不仁
bấtthường	不常
bậy	呸
bắc	北
bắc kỳ	北圻
bắc mỹ	北美
bắckỳ	北圻
bắcmỹ	北美
bắt	扒
bắt đầu	扒頭
bắtđầu	扒頭
bằng	凭	憑	朋
bằng chứng	凭證	憑證
bằngchứng	凭證	憑證
bệnh	病
bệnh viện	病院
bệnhviện	病院
bị	被	備
bị động	被動
bịđộng	被動
bỏ	𠬃
bỏ chạy	𠬃𧼋
bỏ không	𠬃空
bỏ mặc	𠬃默
bỏ qua	𠬃戈
bỏ đi	𠬃𠫾
bỏchạy	𠬃𧼋
bỏkhông	𠬃空
bỏmặc	𠬃默
bỏqua	𠬃戈
bỏđi	𠬃𠫾
bố	布	佈	𢂞
bố mẹ	𢂞媄
bố trận	佈陣
bốmẹ	𢂞媄
bốn	𦊚
bốn phương	𦊚方
bốnphương	𦊚方
bốtrận	佈陣
bộ	部	步
bộ hành	步行
bộ thủ	部首
bộ trưởng	部長
bộ đội	步隊
bộhành	步行
bộthủ	部首
bộtrưởng	部長
bộđội	步隊
bởi	𤳄
bởi vì	𤳄為	𤳄爲
bởivì	𤳄為	𤳄爲
bụng	䏾
cao	高
cao cấp	高級
cao thượng	高上
cao xa	高賖
cao điểm	高點
cao đẹp	高𢢲
caocấp	高級
caothượng	高上
caoxa	高賖
caođiểm	高點
caođẹp	高𢢲
cha	吒
cha mẹ	吒媄
chamẹ	吒媄
chi	支
chia	𢺺
chia sẻ	𢺺𢩿
chia tay	𢺺𢬣
chiasẻ	𢺺𢩿
chiatay	𢺺𢬣
chim	𪀄
chiếc	隻
chiến	戰
chiến thuyền	戰船
chiến trận	戰陣
chiếnthuyền	戰船
chiếntrận	戰陣
chiều	朝
chiều cao	朝高
chiều dài	朝𨱽
chiềucao	朝高
chiềudài	朝𨱽
cho	朱
cho biết	朱别
cho nên	朱𢧚
chobiết	朱别
chonên	朱𢧚
chuyện	𡀯
chuyện tình	𡀯情
chuyệntình	𡀯情
chào	嘲
cháu	𡥙
chân	蹎
chân mây	蹎𩄲
chân tay	蹎𢬣
chânmây	蹎𩄲
chântay	蹎𢬣
châu	珠	洲
châu á	洲亜	洲亞
châu âu	洲歐
châu đại dương	洲大洋
châuá	洲亜	洲亞
châuâu	洲歐
châuđạidương	洲大洋
chí	志
chín	𠃩
chính	正	政
chính phủ	政府
chính thể	正体	正體
chính thức	正式
chính trị	政治
chính trị gia	政治家
chính trị phạm	政治犯
chính đảng	政党	政黨
chínhphủ	政府
chínhthể	正体	正體
chínhthức	正式
chínhtrị	政治
chínhtrịgia	政治家
chínhtrịphạm	政治犯
chínhđảng	政党	政黨
chóm trưởng	呫長
chómtrưởng	呫長
chú	注
chú thích	注釋
chú ý	注意
chúa	主
chúng	眾
chúng ta	眾些
chúng tôi	眾碎	眾倅
chúngta	眾些
chúngtôi	眾碎	眾倅
chúthích	注釋
chúý	注意
chơi	𨔈
chơi chữ	𨔈𡦂	𨔈𡨸
chơichữ	𨔈𡦂	𨔈𡨸
chưa	渚	𣗓
chương	章
chương trình	章程
chươngtrình	章程
chạy	𧼋
chạy bộ	𧼋步
chạy theo	𧼋遶
chạybộ	𧼋步
chạytheo	𧼋遶
chấp	执	執
chấp chính	执政	執政
chấp hành	执行	執行
chấpchính	执政	執政
chấphành	执行	執行
chế	制	製
chế phẩm	制品	製品
chế tác	制作	製作
chế tạo	制造	製造
chế độ	制度	製度
chếphẩm	制品	製品
chếtác	制作	製作
chếtạo	制造	製造
chếđộ	制度	製度
chỉ	只	𥿗	指
chỉ số	指数
chỉ số kinh tế	指数経济	指数經濟
chỉ thị	指示
chỉsố	指数
chỉsốkinhtế	指数経济	指数經濟
chỉthị	指示
chị	姉
chị em	姉㛪
chịem	姉㛪
chủ	主
chủ nhân	主人
chủ nhật	主日
chủ thể	主体	主體
chủ trị	主治
chủ đề	主題
chủnhân	主人
chủnhật	主日
chủthể	主体	主體
chủtrị	主治
chủđề	主題
chức	織
chứng	證
chữ	𡦂	𡨸
chữ hán	𡦂漢	𡨸漢
chữ mắt	𡦂眜	𡨸眜
chữ nôm	𡦂喃	𡨸喃
chữ thập đỏ	𡦂十𧹼	𡨸十𧹼
chữ viết	𡦂曰	𡨸曰
chữhán	𡦂漢	𡨸漢
chữmắt	𡦂眜	𡨸眜
chữnôm	𡦂喃	𡨸喃
chữthậpđỏ	𡦂十𧹼	𡨸十𧹼
chữviết	𡦂曰	𡨸曰
coi	䁛
coi thương	䁛常
coithương	䁛常
con	𡥵
con bé	𡥵𡮣
con gái	𡥵𡛔
con một	𡥵𠬠
con người	𡥵𠊛
con trai	𡥵𤳆
conbé	𡥵𡮣
congái	𡥵𡛔
conmột	𡥵𠬠
conngười	𡥵𠊛
contrai	𡥵𤳆
cuộc	局
cuộc đời	局𠁀
cuộcđời	局𠁀
cá	𩵜
cá biển	𩵜𣷷
cá vàng	𩵜鐄
cá đồng	𩵜垌
cábiển	𩵜𣷷
các	各
các bạn	各伴
các vị	各位
cácbạn	各伴
cách	格	革
cách làm	格爫
cách mạng	革命
cáchlàm	格爫
cáchmạng	革命
cácvị	各位
cái	丐
cái gì	丐之	丐咦
cái này	丐尼	丐呢
cái đó	丐妬
cáigì	丐之	丐咦
cáinày	丐尼	丐呢
cáiđó	丐妬
cám ơn	感恩
cámơn	感恩
cávàng	𩵜鐄
cáđồng	𩵜垌
cân	斤
cân thư	斤書
cânthư	斤書
câu	句
câu hỏi	句𠳨
câuhỏi	句𠳨
cây	𣘃
cây số	𣘃数
cây viết	𣘃曰
câysố	𣘃数
câyviết	𣘃曰
còn	群
còn lại	群吏
cònlại	群吏
có	固
có khi	固欺
có lý	固理
có quyền	固权	固權
có thể	固体	固體
có tuổi	固歲
có điều	固条	固條
cókhi	固欺
cólý	固理
cóquyền	固权	固權
cóthể	固体	固體
cótuổi	固歲
cóđiều	固条	固條
cô	姑
cô giáo	姑教
côgiáo	姑教
công	工	公	功
công an	公安
công bố	公佈
công nghiệp	工業
công nghệ	工芸	工藝
công nhân	工人
công nhận	公認
công thức	公式
công ty	公司
công tác	工作
công việc	工役
công xã	公社
côngan	公安
côngbố	公佈
côngnghiệp	工業
côngnghệ	工芸	工藝
côngnhân	工人
côngnhận	公認
côngthức	公式
côngty	公司
côngtác	工作
côngviệc	工役
côngxã	公社
cõi	𡎝
cùng	共
cũ	𫇰
cũng	拱
cơ	机	機	基
cơ bản	基本
cơ hội	机会	機會
cơ quan	机関	機關
cơ thể	机体	機體
cơbản	基本
cơhội	机会	機會
cơm	粓
cơquan	机関	機關
cơthể	机体	機體
cười	唭
cả	哿
cải	改
cải cách	改革
cải tổ	改組
cảicách	改革
cảitổ	改組
cảm	感
cảm thương	感傷
cảm thấy	感𧡊
cảm ơn	感恩
cảmthương	感傷
cảmthấy	感𧡊
cảmơn	感恩
cảnh	景	警
cảnh tình	景情
cảnh vật	景物
cảnh vệ	警衛
cảnhtình	景情
cảnhvật	景物
cảnhvệ	警衛
cấp	級	急
cấp thời	急時
cấpthời	急時
cần	勤
cần yếu	勤要
cầnyếu	勤要
cầu	求
cầu xin	求吀
cầuxin	求吀
cận	近
cận thị	近視
cận đại	近代
cậnthị	近視
cậnđại	近代
cập	及
cắt	割
cổ	古
cổ điển	古典
cổđiển	古典
cộng	共
cộng hoà	共和
cộng sản	共産
cộng đồng	共同
cộnghoà	共和
cộngsản	共産
cộngđồng	共同
cờ	旗	碁
của	𧵑
của công	𧵑公
củacông	𧵑公
cứ	拠
cứ điểm	拠點
cứu	究
cứđiểm	拠點
cử	舉
cử hành	舉行
cử nhân	舉人
cửa	𨴦	𨷶
cửa hàng	𨴦行	𨷶行
cửa sổ	𨴦数	𨷶数
cửahàng	𨴦行	𨷶行
cửasổ	𨴦数	𨷶数
cửhành	舉行
cửnhân	舉人
da	䏧
da thuộc	䏧屬
danh	名
danh từ	名詞
danhtừ	名詞
dathuộc	䏧屬
do	由
doanh	营	營
doanh nghiệp	营業	營業
doanh số	营数	營数
doanhnghiệp	营業	營業
doanhsố	营数	營数
duy nhất	唯一
duynhất	唯一
dài	𨱽
dân	民
dân chủ	民主
dân cử	民舉
dân quyền	民权	民權
dân số	民数
dân sự	民事
dân vệ	民衛
dânchủ	民主
dâncử	民舉
dânquyền	民权	民權
dânsố	民数
dânsự	民事
dânvệ	民衛
dây	絏
dây điện	絏電
dâyđiện	絏電
dãy	𧿆
dãy núi	𧿆𡶀
dãynúi	𧿆𡶀
dù	𠶢
dù rằng	𠶢浪	𠶢哴
dù sao	𠶢牢
dùng	用
dùrằng	𠶢浪	𠶢哴
dùsao	𠶢牢
dương	洋
dưới	𤲂
dược	藥
dược học	藥学	藥學
dược liệu	藥料
dược phòng	藥房
dược phẩm	藥品
dược sĩ	藥士
dược điển	藥典
dượchọc	藥学	藥學
dượcliệu	藥料
dượcphòng	藥房
dượcphẩm	藥品
dượcsĩ	藥士
dượcđiển	藥典
dạ	唯
dạ vâng	唯𠳐
dạvâng	唯𠳐
dạy	𠰺
dạy bảo	𠰺保
dạy học	𠰺学	𠰺學
dạybảo	𠰺保
dạyhọc	𠰺学	𠰺學
dầu	油
dầu ăn	油咹	油𩛖
dầuăn	油咹	油𩛖
dắt	𢩮
dễ	易
dễ thương	易傷
dễ thường	易常
dễthương	易傷
dễthường	易常
dịch	譯
dịch vụ	役務
dịchvụ	役務
dụng	用
dự	預
dự báo	預報
dự chi	預支
dự kiến	預見
dự án	預案
dự định	預定
dựa	豫
dựa trên	豫𨕭
dựatrên	豫𨕭
dựbáo	預報
dựchi	預支
dựkiến	預見
dựng	𥩯
dựán	預案
dựđịnh	預定
em	㛪
em bé	㛪𡮣
embé	㛪𡮣
gia	家	加
gia cảnh	家景
gia nhập	加入
gia vị	加味
gia đình	家庭
gia đình bên nội	家庭边内
gia đình trị	家庭治
giacảnh	家景
gian	間
gianhập	加入
giao	交
giao hàng	交行
giaohàng	交行
giavị	加味
giađình	家庭
giađìnhbênnội	家庭边内
giađìnhtrị	家庭治
già	𦓅
già cả	𦓅哿
già yếu	𦓅要
già đời	𦓅𠁀
giàcả	𦓅哿
giàyếu	𦓅要
giàđời	𦓅𠁀
giá	价	價
giá mắt	价眜	價眜
giá thị trường	价市場	價市場
giá trị	价値	價値
giámắt	价眜	價眜
giáo	教
giáo sư	教師
giáo viên	教員
giáo vụ	教務
giáo đường	教堂
giáosư	教師
giáoviên	教員
giáovụ	教務
giáođường	教堂
giáp	夾
giáp chiến	夾戰
giáp giới	夾界
giáp hạt	夾籺
giáp mặt	夾𩈘
giápchiến	夾戰
giápgiới	夾界
giáphạt	夾籺
giápmặt	夾𩈘
giáthịtrường	价市場	價市場
giátrị	价値	價値
gió	𩙌	𩙋
gió mưa	𩙌𩅹	𩙋𩅹
gió trăng	𩙌𦝄	𩙋𦝄
gió đông	𩙌東	𩙋東
giómưa	𩙌𩅹	𩙋𩅹
giótrăng	𩙌𦝄	𩙋𦝄
gióđông	𩙌東	𩙋東
giúp	𠢞
giúp đỡ	𠢞拖
giúpđỡ	𠢞拖
giải	解
giải nghĩa	解義
giải quyết	解決
giải thích	解釋
giảinghĩa	解義
giảiquyết	解決
giảithích	解釋
giấy	紙
giấy báo	紙報
giấy bạc	紙鉑
giấy in	紙印
giấy viết thư	紙曰書
giấy đánh máy	紙打𣛠
giấy ảnh	紙影
giấybáo	紙報
giấybạc	紙鉑
giấyin	紙印
giấyviếtthư	紙曰書
giấyđánhmáy	紙打𣛠
giấyảnh	紙影
giới	界
giới hạn	界限
giớihạn	界限
giờ	𣇞
giờ làm việc	𣇞爫役
giờ đây	𣇞低
giờlàmviệc	𣇞爫役
giờđây	𣇞低
giữ	𡨹
giữ lòng	𡨹𢚸
giữ lời	𡨹𠳒
giữ miệng	𡨹𠰘
giữ ý	𡨹意
giữa	𡨌
giữlòng	𡨹𢚸
giữlời	𡨹𠳒
giữmiệng	𡨹𠰘
giữý	𡨹意
gái	𡛔
gây	𢲧
gây chiến	𢲧戰
gây chuyện	𢲧𡀯
gây dựng	𢲧𥩯
gâychiến	𢲧戰
gâychuyện	𢲧𡀯
gâydựng	𢲧𥩯
gì	之	咦
gấp	急
gần	𧵆
gần xa	𧵆賖
gầnxa	𧵆賖
gọi	噲
gọi cửa	噲𨴦	噲𨷶
gọi là	噲羅
gọicửa	噲𨴦	噲𨷶
gọilà	噲羅
hai	𠄩
hay	咍
hay là	咍羅
hay quá	咍過
hay sao	咍牢
haylà	咍羅
hayquá	咍過
haysao	咍牢
hiểm	險
hiểu	曉
hiểu biết	曉别
hiểubiết	曉别
hiện	現
hiện nay	現𠉞
hiện tiền	現前
hiện tại	現在
hiện đại	現代
hiệnnay	現𠉞
hiệntiền	現前
hiệntại	現在
hiệnđại	現代
hoa	花	華
hoa kỳ	花旗
hoa trà	花茶
hoakỳ	花旗
hoatrà	花茶
hoà	和
hoà bình	和平
hoàbình	和平
hoá	化
hoá học	化学	化學
hoá trị	化値
hoáhọc	化学	化學
hoátrị	化値
hoặc	或
hoặc là	或羅
hoặclà	或羅
hà	河
hà nội	河内
hàng	行	航
hàng chữ	行𡦂	行𡨸
hàng hải	航海
hàng không	航空
hàngchữ	行𡦂	行𡨸
hànghải	航海
hàngkhông	航空
hành khách	行客
hànhkhách	行客
hànội	河内
hán	漢
hán việt	漢越
hán văn	漢文
hánviệt	漢越
hánvăn	漢文
hãng	行
hình	形
hình thành	形成
hình ảnh	形影
hìnhthành	形成
hìnhảnh	形影
hòn	𡉕
hòn đảo	𡉕島
hònđảo	𡉕島
hôm	歆	𣋚
hôm nay	歆𠉞	𣋚𠉞
hôm qua	歆戈	𣋚戈
hôm sau	歆𡢐	𣋚𡢐
hôm xưa	歆𠸗	𣋚𠸗
hômnay	歆𠉞	𣋚𠉞
hômqua	歆戈	𣋚戈
hômsau	歆𡢐	𣋚𡢐
hômxưa	歆𠸗	𣋚𠸗
hơn	欣
hương	香	鄉
hương liệu	香料
hương tục	鄉俗
hương vị	香味
hươngliệu	香料
hươngtục	鄉俗
hươngvị	香味
hưởng	響
hạch	核
hạch nhân	核仁
hạchnhân	核仁
hạn	限
hạnh	幸	杏
hạnh nhân	杏仁
hạnhnhân	杏仁
hạt châu	籺珠
hạt mưa	籺𩅹
hạt sen	籺蓮
hạt tiêu	籺椒
hạtchâu	籺珠
hạtmưa	籺𩅹
hạtsen	籺蓮
hạttiêu	籺椒
hải	海
hải khẩu	海口
hải nam	海南
hải ngoại	海外
hải quan	海関	海關
hải quân	海軍
hảikhẩu	海口
hảinam	海南
hảingoại	海外
hảiquan	海関	海關
hảiquân	海軍
hận	恨
hậu	後
hậu thuộc địa	後屬地
hậu đường	後堂
hậuthuộcđịa	後屬地
hậuđường	後堂
hết	歇
hết cả	歇哿
hếtcả	歇哿
hệ	係	系
hệ số	係数
hệ thống	系統
hệsố	係数
hệthống	系統
họ	户	戶
học	学	學
học hành	学行	學行
học sinh	学生	學生
học thuộc lòng	学屬𢚸	學屬𢚸
học viện	学院	學院
học vấn	学問	學問
học đường	学堂	學堂
họchành	学行	學行
họcsinh	学生	學生
họcthuộclòng	学屬𢚸	學屬𢚸
họcviện	学院	學院
họcvấn	学問	學問
họcđường	学堂	學堂
hỏi	𠳨
hối	悔
hối hận	悔恨
hối tiếc	悔惜
hốihận	悔恨
hốitiếc	悔惜
